(Boost),(Boost)
(S),(S)
Adrenaline,Adrenaline
Artyleria,Artyleria
Atak,Atak
Attack,Attack
Balistyka,Balistyka
Berserk,Berserk
Bladescale,Bladescale
Blood,Blood
Bloodlust,Bloodlust
Bombardier,Bombardier
Boost,Boost
Boskie,Boskie
Botanik,Botanik
Breath,Breath
Buildup,Buildup
Burst,Burst
Burzodusza,Burzodusza
Bąblowy,Bąblowy
Błogosł.,Błogosł.
Błogosław.,Błogosław.
Call,Call
Chameleosa,Chameleosa
Charge,Charge
Coalescence,Coalescence
Czas,Czas
Darmowy,Darmowy
Defiance,Defiance
Dereliction,Dereliction
Dobycie,Dobycie
Dotyk,Dotyk
Duży,Duży
Dywersja,Dywersja
Długie,Długie
Element,Element
Embolden,Embolden
Exploit,Exploit
Foray,Foray
Frenzied,Frenzied
Furious,Furious
Garda,Garda
Geolog,Geolog
Grinder,Grinder
Grzybomanta,Grzybomanta
Guts,Guts
Heart,Heart
Heaven-Sent,Heaven-Sent
Hellfire,Hellfire
Hone,Hone
Intrepid,Intrepid
Kamienna,Kamienna
Kontratak,Kontratak
Kradzież,Kradzież
Krytyczne,Krytyczne
Kushali,Kushali
Lakier,Lakier
Lepsze,Lepsze
Mail,Mail
Maksymalna,Maksymalna
Mantle,Mantle
Maratończyk,Maratończyk
Master,Master
Mistrz,Mistrz
Mniejszy,Mniejszy
Moc,Moc
Mordercze,Mordercze
Odpor.,Odpor.
Odporn.,Odporn.
Odporność,Odporność
Oko,Oko
Ostry,Ostry
Ożywienie,Ożywienie
Pałkarz,Pałkarz
Piekielna,Piekielna
Podżegacz,Podżegacz
Powalacz,Powalacz
Powder,Powder
Przedłużenie,Przedłużenie
Przypływ,Przypływ
Quick,Quick
Redirection,Redirection
Rite,Rite
Rozłamywacz,Rozłamywacz
Runner,Runner
Rush,Rush
Rękodzieło,Rękodzieło
Skok,Skok
Skupienie,Skupienie
Smocze,Smocze
Smoczy,Smoczy
Sneak,Sneak
Spec,Spec
Spiribird's,Spiribird's
Status,Status
Stałość,Stałość
Strife,Strife
Szczyt,Szczyt
Szczęście,Szczęście
Szybk.,Szybk.
Szybka,Szybka
Szybkie,Szybkie
Szybkość,Szybkość
Teostry,Teostry
Trigger,Trigger
Tune-Up,Tune-Up
Tężyzna,Tężyzna
Uraza,Uraza
Uszu,Uszu
Uśpiona,Uśpiona
Wall,Wall
Whisperer,Whisperer
Wiatrochron,Wiatrochron
Wind,Wind
Wirebug,Wirebug
Wirtuoz,Wirtuoz
Więcej,Więcej
Wyczyny,Wyczyny
Wydłużenie,Wydłużenie
Wykorzyst.,Wykorzyst.
Wykrajania,Wykrajania
Wyrównanie,Wyrównanie
Wzmocnienie,Wzmocnienie
Wzniesiona,Wzniesiona
Wzrost,Wzrost
Wślizg,Wślizg
Zaklinacz,Zaklinacz
Zapasowy,Zapasowy
Zatyczki,Zatyczki
amun.,amun.
amunicji,amunicji
atak,atak
ataku,ataku
brzytwa,brzytwa
błogosławień.,błogosławień.
chowanie,chowanie
do,do
dobycie,dobycie
dosiadania,dosiadania
garda,garda
głód,głód
jak,jak
jedzenie,jedzenie
kablobaków,kablobaków
krytyczne,krytyczne
krytyczny,krytyczny
lodem,lodem
lód,lód
mistrza,mistrza
moc,moc
mocy,mocy
możliwości,możliwości
na,na
normal./szyb.,normal./szyb.
obrony,obrony
ochronny,ochronny
od,od
odrzut,odrzut
of,of
ofensywna,ofensywna
ogień,ogień
ognia,ognia
ogniem,ogniem
ogłuszenie,ogłuszenie
oko,oko
ostrzenie,ostrzenie
paraliż,paraliż
paraliżem,paraliżem
peleryna,peleryna
pioruna,pioruna
piorunem,piorunem
pioruny,pioruny
plagę,plagę
posiłek,posiłek
przebijającej,przebijającej
przeładowania,przeładowania
regeneracji,regeneracji
rogu,rogu
rozrzutowej,rozrzutowej
serce,serce
skakania,skakania
smoki,smoki
specjal.,specjal.
strzał,strzał
szybk.,szybk.
słabości,słabości
taniec,taniec
transformacja,transformacja
trucizną,trucizną
truciznę,truciznę
trwanie,trwanie
twarz,twarz
umysłu,umysłu
unik,unik
uniku,uniku
uśpienie,uśpienie
uśpieniem,uśpieniem
wiary,wiary
wiatru,wiatru
wodą,wodą
wodę,wodę
wstrząsy,wstrząsy
wybuch,wybuch
wybuchem,wybuchem
wycinania,wycinania
wydzieliny,wydzieliny
wytrzym.,wytrzym.
wytrzymał.,wytrzymał.
zasięg,zasięg
zgodności,zgodności
Ładuj,Ładuj
ładow.,ładow.
łapania,łapania
łuku,łuku
łuski,łuski
Ścianobiegacz,Ścianobiegacz
Żywioł,Żywioł
