Artyleria,Artyleria
Atak,Atak
Balistyka,Balistyka
Bombardier,Bombardier
Boskie,Boskie
Botanik,Botanik
Burzodusza,Burzodusza
Bąblowy,Bąblowy
Błogosł.,Błogosł.
Błogosław.,Błogosław.
Chameleosa,Chameleosa
Czas,Czas
Darmowy,Darmowy
Dobycie,Dobycie
Dotyk,Dotyk
Duży,Duży
Dywersja,Dywersja
Długie,Długie
Garda,Garda
Geolog,Geolog
Grzybomanta,Grzybomanta
Kamienna,Kamienna
Kontratak,Kontratak
Kradzież,Kradzież
Krytyczne,Krytyczne
Kushali,Kushali
Lakier,Lakier
Lepsze,Lepsze
Maksymalna,Maksymalna
Maratończyk,Maratończyk
Mistrz,Mistrz
Mniejszy,Mniejszy
Moc,Moc
Mordercze,Mordercze
Odpor.,Odpor.
Odporn.,Odporn.
Odporność,Odporność
Oko,Oko
Ostry,Ostry
Ożywienie,Ożywienie
Pałkarz,Pałkarz
Piekielna,Piekielna
Podżegacz,Podżegacz
Powalacz,Powalacz
Przedłużenie,Przedłużenie
Przypływ,Przypływ
Rozłamywacz,Rozłamywacz
Rękodzieło,Rękodzieło
Skok,Skok
Skupienie,Skupienie
Smocze,Smocze
Smoczy,Smoczy
Spec,Spec
Stałość,Stałość
Szczyt,Szczyt
Szczęście,Szczęście
Szybk.,Szybk.
Szybka,Szybka
Szybkie,Szybkie
Szybkość,Szybkość
Teostry,Teostry
Tężyzna,Tężyzna
Uraza,Uraza
Uszu,Uszu
Uśpiona,Uśpiona
Wiatrochron,Wiatrochron
Wirtuoz,Wirtuoz
Więcej,Więcej
Wyczyny,Wyczyny
Wydłużenie,Wydłużenie
Wykorzyst.,Wykorzyst.
Wykrajania,Wykrajania
Wyrównanie,Wyrównanie
Wzmocnienie,Wzmocnienie
Wzniesiona,Wzniesiona
Wzrost,Wzrost
Wślizg,Wślizg
Zaklinacz,Zaklinacz
Zapasowy,Zapasowy
Zatyczki,Zatyczki
amun.,amun.
amunicji,amunicji
atak,atak
ataku,ataku
brzytwa,brzytwa
błogosławień.,błogosławień.
chowanie,chowanie
do,do
dobycie,dobycie
dosiadania,dosiadania
garda,garda
głód,głód
jak,jak
jedzenie,jedzenie
kablobaków,kablobaków
krytyczne,krytyczne
krytyczny,krytyczny
lodem,lodem
lód,lód
mistrza,mistrza
moc,moc
mocy,mocy
możliwości,możliwości
na,na
normal./szyb.,normal./szyb.
obrony,obrony
ochronny,ochronny
od,od
odrzut,odrzut
ofensywna,ofensywna
ogień,ogień
ognia,ognia
ogniem,ogniem
ogłuszenie,ogłuszenie
oko,oko
ostrzenie,ostrzenie
paraliż,paraliż
paraliżem,paraliżem
peleryna,peleryna
pioruna,pioruna
piorunem,piorunem
pioruny,pioruny
plagę,plagę
posiłek,posiłek
przebijającej,przebijającej
przeładowania,przeładowania
regeneracji,regeneracji
rogu,rogu
rozrzutowej,rozrzutowej
serce,serce
skakania,skakania
smoki,smoki
specjal.,specjal.
strzał,strzał
szybk.,szybk.
słabości,słabości
taniec,taniec
transformacja,transformacja
trucizną,trucizną
truciznę,truciznę
trwanie,trwanie
twarz,twarz
umysłu,umysłu
unik,unik
uniku,uniku
uśpienie,uśpienie
uśpieniem,uśpieniem
wiary,wiary
wiatru,wiatru
wodą,wodą
wodę,wodę
wstrząsy,wstrząsy
wybuch,wybuch
wybuchem,wybuchem
wycinania,wycinania
wydzieliny,wydzieliny
wytrzym.,wytrzym.
wytrzymał.,wytrzymał.
zasięg,zasięg
zgodności,zgodności
Ładuj,Ładuj
ładow.,ładow.
łapania,łapania
łuku,łuku
łuski,łuski
Ścianobiegacz,Ścianobiegacz
Żywioł,Żywioł
