(Boost),(Boost)
(S),(S)
Abanico+,Abanico+
Acabado,Acabado
Adrenalina,Adrenalina
Afilado,Afilado
Afinidad,Afinidad
Afortunado,Afortunado
Agotador,Agotador
Antiagua,Antiagua
Antiaturdimiento,Antiaturdimiento
Antidraco,Antidraco
Antifango,Antifango
Antifuego,Antifuego
Antihielo,Antihielo
Antinitro,Antinitro
Antiparálisis,Antiparálisis
Antiplagas,Antiplagas
Antirrayo,Antirrayo
Antisueño,Antisueño
Antitemblores,Antitemblores
Antiveneno,Antiveneno
Antiviento,Antiviento
Arquero,Arquero
Artesanía,Artesanía
Artillería,Artillería
As,As
Ataque,Ataque
Aturdir,Aturdir
Aumento,Aumento
Balística,Balística
Bendición,Bendición
Bladescale,Bladescale
Blood,Blood
Bloodlust,Bloodlust
Bloqueo,Bloqueo
Bombardero,Bombardero
Botánico,Botánico
Breath,Breath
Cadencia,Cadencia
Call,Call
Carga,Carga
Cargar,Cargar
Chain,Chain
Chameleos,Chameleos
Charge,Charge
Coalescence,Coalescence
Comida,Comida
Constitución,Constitución
Consumir,Consumir
Contraataque,Contraataque
Corazón,Corazón
Correparedes,Correparedes
Crit,Crit
Danza,Danza
Dereliction,Dereliction
Desenfundar,Desenfundar
Desenfunde,Desenfunde
Despiece,Despiece
Disparo,Disparo
Distancia,Distancia
Distracción,Distracción
Domacordópteros,Domacordópteros
Duración,Duración
Efecto,Efecto
Elemento,Elemento
Escudo,Escudo
Esprint,Esprint
Estabilidad,Estabilidad
Experto,Experto
Filo,Filo
Foray,Foray
Fortalecer,Fortalecer
Furious,Furious
Gasto,Gasto
Geólogo,Geólogo
Grinder,Grinder
Guardia,Guardia
Hellfire,Hellfire
Heroicidad,Heroicidad
Hone,Hone
Impacto,Impacto
Instigador,Instigador
Intervalo,Intervalo
Kushala,Kushala
Maestro,Maestro
Mail,Mail
Manto,Manto
Master,Master
Mejora,Mejora
Munición+,Munición+
Mutación,Mutación
Músico,Músico
Normal/salva+,Normal/salva+
Ojo,Ojo
Pena,Pena
Perforante+,Perforante+
Plena,Plena
Poder,Poder
Potenciador,Potenciador
Punto,Punto
Quick,Quick
Rayo,Rayo
Recarga,Recarga
Recuperación,Recuperación
Redirection,Redirection
Resentimiento,Resentimiento
Resistencia,Resistencia
Rite,Rite
Rompepartes,Rompepartes
Spiritbird’s,Spiritbird’s
Tapones,Tapones
Teostra,Teostra
Tiempo,Tiempo
Tiro,Tiro
Toque,Toque
Tune-Up,Tune-Up
Viento,Viento
Wall-Runner,Wall-Runner
Whisperer,Whisperer
Wirebug,Wirebug
agresivo,agresivo
agua,agua
arma,arma
balance,balance
burbujeante,burbujeante
capturas,capturas
carga,carga
cortador,cortador
crítico,crítico
cuchilla,cuchilla
de,de
defensivo,defensivo
del,del
deslizante,deslizante
divina,divina
draco,draco
dragón,dragón
débil,débil
en,en
especial,especial
evasiva,evasiva
evasivo,evasivo
extra,extra
forma,forma
fuego,fuego
gratis,gratis
hielo,hielo
infernal,infernal
inmediata,inmediata
la,la
latente,latente
maestro,maestro
mejorada,mejorada
mejorado,mejorado
mental,mental
monta,monta
múltiple,múltiple
nitro,nitro
objetos,objetos
of,of
paralizante,paralizante
prolongada,prolongada
protector,protector
rayo,rayo
resistencia,resistencia
rápida,rápida
rápido,rápido
salto,salto
setas,setas
sueño,sueño
trueno,trueno
unificado,unificado
veloz,veloz
venenoso,venenoso
y,y
área,área
